EventCount, EventType, OldIDs, NewID, Time, NewVol, X, Y, Z, U, V, W, L1, L2, L3
81, Split,1,67, 1.32230E+01,4.5246411582065447E-04,  9.251519523567E+00,  6.128753697589E-01, -3.644259255110E-01,  7.087941214619E-01, -1.960140056849E-01,  1.722159794076E-01,  1.493936638918E+03,  2.389428619027E+02,  1.404808750402E+02
82, Split,41,68, 1.32230E+01,8.1779735995134530E-04,  1.029046470027E+01,  7.082782969414E-01, -9.591232207365E-01,  9.544435531912E-01,  2.077719087894E-01, -1.416770129655E-01,  1.289581262332E+03,  2.354361234366E+02,  1.044800640247E+02
83, Split,41,69, 1.32230E+01,2.4760381448763884E-04,  1.044730009047E+01,  5.148292354239E-01, -1.111635370468E+00,  9.868126294535E-01,  2.224120969667E-01, -1.724230233860E-01,  2.396556347987E+03,  4.311974808295E+02,  1.890782310968E+02
84, Split,1,70, 1.32426E+01,9.9183853040616109E-09,  9.502781584729E+00, -1.429687500000E+00, -5.859375000000E-01, -5.308418235305E-02, -5.367068803291E-02,  1.774047533252E-01,  0.000000000000E+00,  0.000000000000E+00,  0.000000000000E+00
85, Merge,1;66;,1, 1.32626E+01,1.0378146618261743E+01
86, Split,64,71, 1.32825E+01,1.6587040123023083E-09,  8.423986252626E+00, -8.671875000000E-01, -1.242187500000E+00,  6.038196591169E-02,  1.221748870685E-01,  8.108582088827E-02,  0.000000000000E+00,  0.000000000000E+00,  0.000000000000E+00
87, Split,64,72, 1.32825E+01,8.6028239589352047E-06,  8.633842328208E+00, -8.722788285322E-01, -1.237704831563E+00,  3.706408902719E-02,  1.212029113207E-02,  8.865220099186E-02,  0.000000000000E+00,  0.000000000000E+00,  0.000000000000E+00
88, Split,1,73, 1.33026E+01,1.7231295349430166E-03,  8.433894811022E+00, -1.278103815378E+00, -9.763521001689E-01,  2.738988694874E-01,  4.215786097434E-03,  3.964151885321E-02,  0.000000000000E+00,  0.000000000000E+00,  0.000000000000E+00
89, Split,1,74, 1.33026E+01,4.6444272827395598E-04,  1.000399972994E+01,  7.395801414820E-01, -6.098865781184E-01,  7.707462992744E-01,  9.882801712702E-02,  6.765544718096E-02,  0.000000000000E+00,  0.000000000000E+00,  0.000000000000E+00
90, Merge,1;73;68;,1, 1.33426E+01,1.0440990320772281E+01
91, Merge,1;68;,1, 1.33426E+01,1.0440990320772281E+01
92, Split,1,75, 1.33627E+01,5.4940412582381727E-04,  8.557785765439E+00, -7.176298543591E-01,  7.234512297199E-01,  2.761694669818E-01, -4.168343968359E-02, -5.321046621781E-02,  0.000000000000E+00,  0.000000000000E+00,  0.000000000000E+00
93, Split,1,76, 1.33627E+01,1.4429929097288334E-04,  9.133169936923E+00,  5.166409776614E-01, -4.325254891366E-01,  6.287843165356E-01, -3.189901875108E-01, -7.686207687059E-02,  0.000000000000E+00,  0.000000000000E+00,  0.000000000000E+00
94, Merge,31;45;,77, 1.34026E+01,1.4730304822118761E-06
95, Merge,1;75;63;,1, 1.34026E+01,1.0485966047204855E+01
96, Merge,1;63;,1, 1.34026E+01,1.0485966047204855E+01
97, Split,1,78, 1.34026E+01,1.7230927960721375E-03,  8.464061506462E+00, -1.277660951400E+00, -9.718681868976E-01,  2.714180647750E-01,  8.623805357829E-03,  3.925870472317E-02,  1.005163752589E+03,  3.760915922822E+02,  9.907798247698E+01
